OrderID,CustomerID,ProductID,StoreID,OrderDate,Quantity,DiscountPct,PaymentMethod,OrderStatus,ShippingDays,SalesRep,Month,Year,Quarter,ProductName,Category,Brand,CostPrice,SellingPrice,CustomerName,Gender,Age,City,State,Segment,JoinDate,Revenue,DiscountAmount,FinalSales,Cost,Profit
1,31,53,STR004,08-01-2024,4,0,Net Banking,Delivered,1,Amit Shah,January,2024,1,Airdopes 5,Accessories,Boat,21857,28526.76,Kavya Joseph,Male,48,Chennai,Tamil Nadu,Regular,30-09-2023,114107.04,0,114107.04,87428,26679.04
2,312,48,STR005,03-01-2025,3,15,Credit Card,Returned,6,Ramesh Kumar,January,2025,1,UltraGear 8,Accessories,LG,48390,63076.87,Aditya Mohan,Male,41,Delhi,Delhi,Silver,25-07-2022,189230.61,28384.5915,160846.0185,145170,15676.0185
3,257,2,STR004,27-07-2024,2,15,Credit Card,Delivered,1,Neha Kapoor,July,2024,3,iPhone 2,Phone,Apple,35733,48219.76,Priya Reddy,Male,52,Coimbatore,Tamil Nadu,Premium,08-01-2022,96439.52,14465.928,81973.592,71466,10507.592
4,443,5,STR002,09-07-2025,2,15,Cash,Delivered,4,Suresh Reddy,July,2025,3,iPhone 5,Phone,Apple,20211,24035.7,Rahul Menon,Female,63,Hyderabad,Telangana,Silver,30-04-2022,48071.4,7210.71,40860.69,40422,438.69
5,390,47,STR001,16-06-2024,3,0,Credit Card,Delivered,5,Amit Shah,June,2024,2,UltraGear 7,Accessories,LG,4549,5454.61,Harini Patel,Male,37,Chennai,Tamil Nadu,Regular,28-07-2022,16363.83,0,16363.83,13647,2716.83
6,124,49,STR002,30-01-2024,1,0,Credit Card,Delivered,5,Amit Shah,January,2024,1,Airdopes 1,Accessories,Boat,10008,13029.7,Aditya Iyer,Female,19,Bengaluru,Karnataka,Gold,21-03-2024,13029.7,0,13029.7,10008,3021.7
7,58,30,STR003,29-08-2025,2,5,Cash,Delivered,2,Neha Kapoor,August,2025,3,Pavilion 6,Laptop,HP,4465,5598.89,Aditya Singh,Male,29,Bengaluru,Karnataka,Gold,15-10-2022,11197.78,559.889,10637.891,8930,1707.891
8,268,22,STR001,17-10-2025,2,20,Cash,Delivered,4,Neha Kapoor,October,2025,4,Inspiron 6,Laptop,Dell,24181,32590.68,Sai Reddy,Female,57,Bengaluru,Karnataka,Gold,19-04-2023,65181.36,13036.272,52145.088,48362,3783.088
9,3,61,STR003,01-02-2025,1,20,UPI,Delivered,3,Amit Shah,February,2025,1,MX Master 5,Accessories,Logitech,43257,50291.08,Aditya Das,Male,56,Bengaluru,Karnataka,Premium,16-07-2024,50291.08,10058.216,40232.864,43257,-3024.136
10,455,51,STR003,08-03-2025,3,5,Credit Card,Delivered,6,Divya Iyer,March,2025,1,Airdopes 3,Accessories,Boat,11515,15244.56,Sneha Joseph,Female,58,Mumbai,Maharashtra,Gold,15-04-2025,45733.68,2286.684,43446.996,34545,8901.996
11,56,6,STR003,24-12-2025,3,10,Debit Card,Delivered,7,Neha Kapoor,December,2025,4,iPhone 6,Phone,Apple,2887,3663.66,Meera Nair,Male,40,Delhi,Delhi,Regular,18-03-2022,10990.98,1099.098,9891.882,8661,1230.882
12,376,24,STR004,17-12-2025,3,10,UPI,Delivered,1,Suresh Reddy,December,2025,4,Inspiron 8,Laptop,Dell,8182,9189.04,Aditya Das,Male,44,Delhi,Delhi,Premium,03-03-2024,27567.12,2756.712,24810.408,24546,264.408
13,186,36,STR002,01-12-2025,4,10,Net Banking,Delivered,4,Fatima Khan,December,2025,4,ThinkPad 4,Laptop,Lenovo,38664,51499.94,Vikram Krishnan,Female,21,Bengaluru,Karnataka,Premium,04-08-2022,205999.76,20599.976,185399.784,154656,30743.784
14,47,17,STR001,31-07-2025,4,20,Debit Card,Delivered,5,Suresh Reddy,July,2025,3,Inspiron 1,Laptop,Dell,5674,6497.8,Diya Joseph,Male,59,Hyderabad,Telangana,Silver,09-04-2024,25991.2,5198.24,20792.96,22696,-1903.04
15,138,58,STR001,15-07-2024,3,5,Debit Card,Delivered,5,Pooja Nair,July,2024,3,MX Master 2,Accessories,Logitech,37708,44869.98,Arjun Nair,Male,29,Hyderabad,Telangana,Regular,28-07-2024,134609.94,6730.497,127879.443,113124,14755.443
16,435,34,STR002,09-07-2025,4,20,Net Banking,Delivered,1,Neha Kapoor,July,2025,3,ThinkPad 2,Laptop,Lenovo,30092,38217.77,Vivaan Patel,Female,21,Mumbai,Maharashtra,Silver,09-04-2025,152871.08,30574.216,122296.864,120368,1928.864
17,353,1,STR003,02-01-2024,3,15,Net Banking,Delivered,1,Suresh Reddy,January,2024,1,iPhone 1,Phone,Apple,29899,37124.11,Daniel Krishnan,Male,61,Hyderabad,Telangana,Regular,01-02-2024,111372.33,16705.8495,94666.4805,89697,4969.4805
18,411,62,STR002,26-08-2024,4,15, n,Delivered,5,Suresh Reddy,August,2024,3,MX Master 6,Accessories,Logitech,33247,42244.6,Harini Menon,Male,48,Hyderabad,Telangana,Regular,17-04-2022,168978.4,25346.76,143631.64,132988,10643.64
19,161,60,STR005,04-09-2024,2,5,Credit Card,Delivered,2,Amit Shah,September,2024,3,MX Master 4,Accessories,Logitech,17334,20959.66,Rahul Kumar,Male,43,Coimbatore,Tamil Nadu,Regular,06-08-2024,41919.32,2095.966,39823.354,34668,5155.354
20,212,24,STR005,07-03-2025,2,20,Debit Card,Cancelled,1,Divya Iyer,March,2025,1,Inspiron 8,Laptop,Dell,8182,9189.04,Sai Menon,Male,56,Hyderabad,Telangana,Premium,09-06-2024,18378.08,3675.616,14702.464,16364,-1661.536
21,478,5,STR002,10-04-2024,4,10,Debit Card,Delivered,7,Divya Iyer,April,2024,2,iPhone 5,Phone,Apple,20211,24035.7,Meera Kumar,Female,60,Mumbai,Maharashtra,Premium,16-08-2023,96142.8,9614.28,86528.52,80844,5684.52
22,30,4,STR004,25-04-2024,2,0,UPI,Delivered,7,Neha Kapoor,April,2024,2,iPhone 4,Phone,Apple,15478,18350.02,Sneha Verma,Female,62,Chennai,Tamil Nadu,Gold,10-03-2022,36700.04,0,36700.04,30956,5744.04
23,273,45,STR002,13-06-2024,1,20,Debit Card,Returned,3,Divya Iyer,June,2024,2,UltraGear 5,Accessories,LG,54174,70600.07,Sneha Kumar,Female,22,Delhi,Delhi,Gold,17-06-2024,70600.07,14120.014,56480.056,54174,2306.056
24,284,31,STR001,12-03-2025,3,10,Cash,Delivered,6,Suresh Reddy,March,2025,1,Pavilion 7,Laptop,HP,12151,13800.85,Rohit Menon,Male,29,Bengaluru,Karnataka,Regular,12-12-2022,41402.55,4140.255,37262.295,36453,809.295
25,109,2,STR004,24-04-2025,4,10,Cash,Delivered,5,Ramesh Kumar,April,2025,2,iPhone 2,Phone,Apple,35733,48219.76,Arjun Das,Female,50,Mumbai,Maharashtra,Gold,17-07-2023,192879.04,19287.904,173591.136,142932,30659.136
